name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
체스,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 247-12,129.084196694801,35.2304781503195
오아시스커피숍,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 192-1,129.082484767876,35.225653062781205
로제커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 40,129.084264361273,35.238040111275296
두기보드게임카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 265,129.085060004458,35.23178642794271
커피에반하다,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 248-9,129.085500701338,35.23023210467721
빈스에스프레소,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로279번길 81-4,129.083715323792,35.235584265629996
장전커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로369번길 17,129.085400835284,35.2408782787773
엔커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로279번길 81-10,129.083133719838,35.2356345406289
텍스처커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로379번길 27,129.08490965865,35.241946308258
커피갤러리,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 225,129.081920317048,35.2303002150514
컴포즈커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 248-8,129.085267991981,35.2300809568852
마리웨일237,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 251,129.084746268209,35.230500267892104
카페더찬,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로279번길 62,129.083866310452,35.2345463282713
웬디스키친,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 279-1,129.08543941871798,35.2330539702933
커피에반하다,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 231,129.084020256371,35.2287761235532
모먼트랩,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 252-1,129.085373812115,35.2306028079654
더리터,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 17,129.08554687778098,35.237821298192
릴리앤제이,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 81,129.08197642730102,35.2378352413696
간단하지만특별한화피디Cafe,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로194번길 4,129.08266194252198,35.2257596438988
오직그대만,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 275,129.085380774069,35.232775068766706
다짐스터디카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 21,129.085260900924,35.2377968214424
간단하지만특별한화피디Cafe,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 361,129.086250266053,35.2403118038949
커피갤럽,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 243,129.08457358742902,35.2299069049725
싱싱프루츠,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로391번길 5,129.08632000143498,35.2430693928091
카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 10-2,129.085948113493,35.2382503602583
카페드팽,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 271-38,129.08479631171699,35.232609046297895
마음연구소,음식,커피점/카페,Q12A05,사주카페,부산광역시 금정구 금강로279번길 6,129.085321469043,35.2332713588554
나우잇,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 271-11,129.08460657516702,35.2323854018896
달다방홈베이킹,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로 33,129.085269436386,35.2285395853522
아레테,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로12번길 55,129.088135712383,35.2301183078655
캣스토리,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로12번길 52-4,129.08860442146602,35.229843679814294
스테이히얼투데이,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로20번길 27,129.08715731895398,35.2292437477715
라프,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로20번길 23,129.087133667573,35.2291177671145
