,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
128294,성북동돈까스,음식,한식,Q01A99,기타고기요리,부산광역시 금정구 금정로 59-8,129.085807299165,35.2301572444538
129411,진가원전주콩나물국밥묵사발,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로233번길 31,129.090724631381,35.24625670471921
129625,양평해장국,음식,한식,Q01A05,해장국/감자탕,부산광역시 금정구 금정로233번길 49,129.090953171975,35.2469126493652
132205,옹헤야불백,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로60번길 32,129.08805015898199,35.2294700840871
135729,닭집포차화계장터,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 금정로91번길 6,129.086636741322,35.233043227260794
136348,발빠닭,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로 89-1,129.086764830294,35.232762649903606
136999,오구신족,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로231번길 15,129.089990253119,35.244749008779394
137139,이장포차,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 금정로68번길 30,129.08812869948,35.2304158259326
137410,버거킹,음식,패스트푸드,Q07A04,패스트푸드,부산광역시 금정구 금정로 66,129.086646786876,35.2305012488794
138976,홍춘천,음식,닭/오리요리,Q05A02,닭갈비전문,부산광역시 금정구 금정로 82,129.08692880185302,35.2318778264586
139252,명주네보쌈,음식,한식,Q01A08,족발/보쌈전문,부산광역시 금정구 금정로119번길 16,129.086615231523,35.235549252401704
140697,딩동댕단란주점,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 금정구 금정로 225-1,129.090543307515,35.244203200494
140949,빙고노래주점,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 금정구 금정로 155-1,129.087721802154,35.2386130117026
141976,이삭토스트,음식,패스트푸드,Q07A10,토스트전문,부산광역시 금정구 금정로233번길 41,129.090826647287,35.2464901430612
142257,뉴욕보틀,음식,패스트푸드,Q07A04,패스트푸드,부산광역시 금정구 금정로68번길 41,129.088810204464,35.230445752753795
142700,카페씨엘,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금정로 39,129.085879737211,35.2281735602946
144226,혜자동,음식,유흥주점,Q09A07,기타일반유흥주점,부산광역시 금정구 금정로91번길 14-1,129.086132530502,35.2331288768384
144747,땅스부대찌개,음식,한식,Q01A07,부대찌개/섞어찌개,부산광역시 금정구 금정로 20,129.086807484009,35.2277235583279
144842,승승통닭,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금정로 17,129.085601175194,35.2262290790215
145020,노라,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로91번길 3,129.086633376018,35.2327908714566
145568,응응스크르부산,음식,패스트푸드,Q07A07,아이스크림판매,부산광역시 금정구 금정로149번길 5,129.08749283127898,35.2379210083827
146557,골목뒷고기,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금정로219번길 27,129.088764040749,35.244255275474295
